climatic_year,Calpella,Guerneville,Hopland,Warm Springs
1996,0.19997507551466395,0.705764071825211,0.7608221864931884,0.8987084455964667
1997,0.8855052624927368,0.7806474909909622,0.7661744190240359,0.906389835505037
1998,0.21114991335389827,0.21223534175449435,0.1307204761354443,0.6700799465565147
1999,0.883555338670195,0.8841384925581844,0.876171941584559,0.7284241782762554
2000,0.49665178673176813,0.8153159537020361,0.7823848703719343,0.8013739842701714
2001,0.4270233296306136,0.5675088486841584,0.40824131674892994,0.5006432048726264
2002,0.6585015277096715,0.10429577163009675,0.15250345917248762,0.1298274874708965
2003,0.4986789392318164,0.11455483308805746,0.06526589259790876,0.06525710759288131
2004,0.7791377590384969,0.8858609575731299,0.886633108897807,0.16797697157539251
2005,0.7395178017951569,0.6475749183238808,0.6516472167182898,0.36616842288114515
2006,0.7326830769871375,0.6410452851435349,0.6472790849578329,0.3157282246389022
2007,0.07483983538384546,0.6118820781931004,0.7745938918469155,0.8847220517598359
2008,0.4485059625752983,0.05412488039160015,0.11831909955713939,0.5414170716018906
2009,0.03027788647899331,0.13901456081584282,0.13137681556050543,0.07922807625593145
